Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
5.45,-1.0,L, ,0.12300000000000022,0.10800000000000054,0.6849999999999996,0.08499999999999996,0.5,0.0,0.7299270072992705,0.0
6.135,-0.5,M-L, ,0.0968,0.5619999999999994,0.1299999999999999,0.6849999999999996,0.5,0.5,3.8461538461538494,0.7299270072992705
6.265,0.0,M, ,0.15720000000000045,0.033199999999999896,0.22500000000000053,0.1299999999999999,-0.5,0.5,-2.222222222222217,3.8461538461538494
6.49,-0.5,M-L, ,0.1554000000000002,0.011600000000000499,0.17999999999999972,0.22500000000000053,0.0,-0.5,0.0,-2.222222222222217
6.67,-0.5,M-L, ,0.742,0.0030000000000001137,0.75,0.17999999999999972,0.5,0.0,0.6666666666666666,0.0
7.42,0.0,M, ,0.04260000000000019,0.008000000000000007,0.04499999999999993,0.75,0.0,0.5,0.0,0.6666666666666666
7.465,0.0,M, ,0.14170000000000016,0.0023999999999997357,0.14500000000000046,0.04499999999999993,1.0,0.0,6.896551724137909,0.0
7.61,1.0,H, ,0.23059999999999992,0.0033000000000003027,0.23499999999999943,0.14500000000000046,-1.0,1.0,-4.255319148936181,6.896551724137909
7.845,0.0,M, ,0.09719999999999995,0.004399999999999515,0.09500000000000064,0.23499999999999943,0.0,-1.0,0.0,-4.255319148936181
7.94,0.0,M, ,0.0021999999999993136,0.09940000000000015,0.1299999999999999,0.09500000000000064,0.0,0.0,0.0,0.0
8.07,0.0,M, ,0.10989999999999966,0.02430000000000021,0.11999999999999922,0.1299999999999999,0.0,0.0,0.0,0.0
8.19,0.0,M, ,0.16500000000000092,0.010099999999999554,0.16999999999999993,0.11999999999999922,-1.0,0.0,-5.882352941176473,0.0
8.36,-1.0,L, ,0.13840000000000074,0.004999999999999005,0.15000000000000036,0.16999999999999993,0.0,-1.0,0.0,-5.882352941176473
8.51,-1.0,L, ,0.14569999999999972,0.01159999999999961,0.22000000000000064,0.15000000000000036,1.0,0.0,4.5454545454545325,0.0
8.73,0.0,M, ,0.07569999999999943,0.07430000000000092,0.08499999999999908,0.22000000000000064,-1.0,1.0,-11.76470588235307,4.5454545454545325
8.815,-1.0,L, ,0.14520000000000088,0.009299999999999642,0.16999999999999993,0.08499999999999908,1.0,-1.0,5.882352941176473,-11.76470588235307
8.985,0.0,M, ,0.1448999999999998,0.024799999999999045,0.14500000000000135,0.16999999999999993,0.0,1.0,0.0,5.882352941176473
9.13,0.0,M, ,0.06709999999999994,0.0001000000000015433,0.11499999999999844,0.14500000000000135,-1.0,0.0,-8.695652173913162,0.0
9.245,-1.0,L, ,0.2608000000000015,0.0478999999999985,0.16999999999999993,0.11499999999999844,0.0,-1.0,0.0,-8.695652173913162
9.415,-1.0,L, ,0.09080000000000155,0.21789999999999843,1.0900000000000016,0.16999999999999993,0.0,0.0,0.0,0.0
10.505,-1.0,L,.,0.10599999999999987,0.9992000000000001,0.17999999999999972,1.0900000000000016,1.0,0.0,5.555555555555564,0.0
10.685,0.0,M, ,0.11399999999999899,0.07399999999999984,0.10999999999999943,0.17999999999999972,0.0,1.0,0.0,5.555555555555564
10.795,0.0,M, ,0.0039999999999995595,0.18399999999999928,0.11500000000000021,0.10999999999999943,0.0,0.0,0.0,0.0
10.91,0.0,M, ,0.07900000000000063,0.0129999999999999,0.08000000000000007,0.11500000000000021,-1.0,0.0,-12.49999999999999,0.0
10.99,-1.0,L, ,0.0990000000000002,0.0009999999999994458,0.09999999999999964,0.08000000000000007,0.0,-1.0,0.0,-12.49999999999999
11.09,-1.0,L, ,0.12100000000000044,0.0009999999999994458,0.1349999999999998,0.09999999999999964,0.5,0.0,3.7037037037037095,0.0
11.225,-0.5,M-L, ,0.5940000000000012,0.013999999999999346,0.6050000000000004,0.1349999999999998,0.5,0.5,0.826446280991735,3.7037037037037095
11.83,0.0,M-M, ,0.07499999999999929,0.010999999999999233,0.28999999999999915,0.6050000000000004,0.0,0.5,0.0,0.826446280991735
12.12,0.0,M, ,0.20500000000000007,0.017999999999998906,0.21500000000000163,0.28999999999999915,0.0,0.0,0.0,0.0
12.335,0.0,M, ,0.18299999999999983,0.010000000000001563,0.18499999999999872,0.21500000000000163,0.0,0.0,0.0,0.0
12.52,0.0,M, ,0.04800000000000004,0.0019999999999988916,0.0600000000000005,0.18499999999999872,0.0,0.0,0.0,0.0
12.58,0.0,M, ,0.10500000000000043,0.012000000000000455,0.13000000000000078,0.0600000000000005,0.0,0.0,0.0,0.0
12.71,0.0,M, ,0.08599999999999852,0.0010000000000012221,0.125,0.13000000000000078,0.0,0.0,0.0,0.0
12.835,0.0,M, ,0.17099999999999937,0.03900000000000148,0.18499999999999872,0.125,-1.0,0.0,-5.405405405405443,0.0
13.02,-1.0,L, ,0.08999999999999986,0.013999999999999346,0.08500000000000085,0.18499999999999872,0.0,-1.0,0.0,-5.405405405405443
13.105,-1.0,L, ,0.004999999999999005,0.0990000000000002,0.16499999999999915,0.08500000000000085,0.0,0.0,0.0,0.0
13.27,-1.0,L, ,1.181000000000001,0.02200000000000024,0.20000000000000107,0.16499999999999915,0.0,0.0,0.0,0.0
13.47,-1.0,L, ,0.9809999999999999,0.2220000000000013,1.0249999999999986,0.20000000000000107,1.0,0.0,0.9756097560975623,0.0
14.495,0.0,M,.,0.004000000000001336,0.04399999999999871,0.125,1.0249999999999986,0.0,1.0,0.0,0.9756097560975623
14.62,0.0,M, ,0.07900000000000063,0.008999999999998565,0.08000000000000007,0.125,-1.0,0.0,-12.49999999999999,0.0
14.7,-1.0,L, ,0.15200000000000102,0.0009999999999994458,0.15500000000000114,0.08000000000000007,1.0,-1.0,6.451612903225759,-12.49999999999999
14.855,0.0,M, ,0.04499999999999993,0.0030000000000001137,0.04499999999999993,0.15500000000000114,-1.0,1.0,-22.222222222222257,6.451612903225759
14.9,-1.0,L, ,0.15199999999999925,0.04800000000000004,0.16000000000000014,0.04499999999999993,1.0,-1.0,6.249999999999995,-22.222222222222257
15.06,0.0,M, ,0.09299999999999997,0.008000000000000895,0.09499999999999886,0.16000000000000014,0.0,1.0,0.0,6.249999999999995
15.155,0.0,M, ,0.08900000000000041,0.0019999999999988916,0.10000000000000142,0.09499999999999886,0.0,0.0,0.0,0.0
15.255,0.0,M, ,0.1639999999999997,0.011000000000001009,0.20500000000000007,0.10000000000000142,1.0,0.0,4.878048780487803,0.0
15.46,1.0,H-H, ,0.0019999999999988916,0.04100000000000037,0.7149999999999999,0.20500000000000007,-1.0,1.0,-1.398601398601399,4.878048780487803
16.175,0.0,M, ,0.06400000000000006,0.713000000000001,0.09499999999999886,0.7149999999999999,0.0,-1.0,0.0,-1.398601398601399
16.27,0.0,M, ,0.10200000000000031,0.030999999999998806,0.10000000000000142,0.09499999999999886,0.0,0.0,0.0,0.0
16.37,0.0,M, ,0.0019999999999988916,0.10000000000000142,0.0849999999999973,0.10000000000000142,1.0,0.0,11.764705882353315,0.0
16.455,1.0,H, ,0.14500000000000313,0.010999999999999233,0.15000000000000213,0.0849999999999973,-1.0,1.0,-6.666666666666572,11.764705882353315
16.605,0.0,M, ,0.1750000000000007,0.004999999999999005,0.18499999999999872,0.15000000000000213,-1.0,-1.0,-5.405405405405443,-6.666666666666572
16.79,-1.0,L, ,0.062000000000001165,0.00999999999999801,0.2950000000000017,0.18499999999999872,0.0,-1.0,0.0,-5.405405405405443
17.085,-1.0,L, ,0.07000000000000028,0.005000000000002558,0.3299999999999983,0.2950000000000017,0.0,0.0,0.0,0.0
17.415,-1.0,L, ,0.060000000000002274,0.06099999999999994,1.0850000000000009,0.3299999999999983,2.0,0.0,1.8433179723502289,0.0
18.5,1.0,H,.,0.04299999999999926,0.021999999999998465,0.21000000000000085,1.0850000000000009,-1.0,2.0,-4.761904761904742,1.8433179723502289
18.71,0.0,M, ,0.08099999999999952,0.0070000000000014495,0.15499999999999758,0.21000000000000085,1.0,-1.0,6.451612903225907,-4.761904761904742
18.865,1.0,H, ,0.12700000000000244,0.0009999999999976694,0.1650000000000027,0.15499999999999758,0.0,1.0,0.0,6.451612903225907
19.03,1.0,H, ,0.0019999999999988916,0.038000000000000256,0.14000000000000057,0.1650000000000027,-1.0,0.0,-7.142857142857114,0.0
19.17,0.0,M, ,0.07699999999999818,0.006000000000000227,0.0849999999999973,0.14000000000000057,0.0,-1.0,0.0,-7.142857142857114
19.255,0.0,M, ,0.16600000000000037,0.007999999999999119,0.23499999999999943,0.0849999999999973,-0.5,0.0,-2.1276595744680904,0.0
19.49,-0.5,M-L, ,0.0010000000000012221,0.02499999999999858,0.870000000000001,0.23499999999999943,0.5,-0.5,0.5747126436781602,-2.1276595744680904
20.36,0.0,M, ,0.12600000000000122,0.09499999999999886,0.16000000000000014,0.870000000000001,1.0,0.5,6.249999999999995,0.5747126436781602
20.52,1.0,H, ,0.125,0.03399999999999892,0.129999999999999,0.16000000000000014,0.0,1.0,0.0,6.249999999999995
20.65,1.0,H, ,0.06500000000000128,0.004999999999999005,0.060000000000002274,0.129999999999999,-1.0,0.0,-16.666666666666035,0.0
20.71,0.0,M, ,0.004999999999999005,0.06500000000000128,0.14000000000000057,0.060000000000002274,0.0,-1.0,0.0,-16.666666666666035
20.85,0.0,M, ,0.12399999999999878,0.022999999999999687,0.14499999999999957,0.14000000000000057,0.0,0.0,0.0,0.0
20.995,0.0,M, ,0.7970000000000006,0.021000000000000796,0.16000000000000014,0.14499999999999957,-0.5,0.0,-3.1249999999999973,0.0
21.155,-0.5,M-L, ,0.6370000000000005,0.18100000000000094,0.5399999999999991,0.16000000000000014,1.0,-0.5,1.8518518518518547,-3.1249999999999973
21.695,0.5,H-M, ,0.09700000000000131,0.7210000000000001,0.14499999999999957,0.5399999999999991,0.5,1.0,3.4482758620689755,1.8518518518518547
21.84,1.0,H, ,0.2289999999999992,0.047999999999998266,0.16000000000000014,0.14499999999999957,0.0,0.5,0.0,3.4482758620689755
