VOPs
0.24599
0.34807
0.36649
0.60846
0.75537
0.79748
0.9071
1.0215
1.0587
1.1446
1.3211
1.3718
1.5002
1.6476
1.7559
1.9385
2.0224
2.1192
2.1517
2.2844
2.3981
2.5122
2.6277
2.6684
2.7811
2.8273
2.8965
3.3829
3.4219
3.551
3.5928
3.7172
3.8156
3.9
4.0067
4.5886
4.7275
4.8176
5.0323
5.3093
5.3911
6.2803
6.3915
6.464
6.5746
6.619
6.6845
6.7015
6.7566
6.8311
6.8583
7.0352
7.1288
7.2661
7.3065
7.4331
7.4999
8.0223
8.0663
8.2171
8.2554
8.3343
8.3629
8.4218
8.4571
8.5557
8.6474
8.6852
8.8489
8.8952
8.9428
9.0294
9.1858
9.2785
9.386
9.5336
9.6927
9.7941
9.8391
9.9154
9.9579
10.098
10.993
11.213
11.37
11.506
11.6
11.734
12.352
12.409
12.471
12.65
12.687
12.785
12.909
13.031
13.18
13.211
13.444
13.569
13.648
14.461
14.513
14.642
14.744
14.832
14.943
15.025
15.191
15.388
15.477
15.552
15.603
15.707
15.748
15.82
15.877
16.005
16.264
16.34
16.61
18
18.024
18.051
18.17
18.337
18.42
18.508
18.647
18.765
19.338
19.386
19.505
19.646
19.685
19.783
19.805
20.03
20.169
20.302
20.432
20.513
20.621
20.784
20.951
21.08
21.17
21.691
21.845
21.906
22.464
22.695
22.803
22.947
23.064
23.134
23.185
23.269
23.508
24.352
24.391
24.483
24.6
24.653
24.776
24.913
24.964
25.089
25.818
25.857
26.032
26.093
26.123
26.164
26.26
26.339
26.465
26.557
26.743
27.521
27.673
27.703
27.763
27.83
28.003
28.277
28.361
28.408
28.528
28.569
28.652
29.305
29.362
29.477
29.6
29.642
29.723
29.746
29.91
29.953
30.087
30.238
30.33
30.467
30.523
30.685
31.026
31.047
31.304
31.423
31.542
31.668
32.181
32.226
32.388
32.497
32.855
33.133
33.29
33.427
