rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.385	0.38471088435374245	0.4247108843537425	98	109	107	106	80.83	107	107	107	107	80.96	0	0	0	0	0	0	0	38	38	0	0.040000000000000036	0	0	0	0.3847	0	79.3	0	1	0	1	0	0.1299999999999999
0.515	0.5147108843537423	0.5397108843537424	86	107	107	101	79.92	107	107	107	107	80.96	0	0	0.06	0	0	0	0	38	38	0	0.025000000000000022	0	0	0	0.09	0	77.5	0	1	0	0	0	0.09500000000000008
0.610	0.6097108843537424	0.6847108843537425	74	84	77	78	75.56	77	77	77	77	75.31	0	0	-5.59	0	0	0	0	0	0	0	0.07500000000000007	0	0	0	0.07	0	71.6	0	1	0	0	0	0.125
0.735	0.7347108843537424	0.8297108843537425	120	236	200	190	90.86	120	236	120	236	94.66	1	10.47	7.77	10.47	0	10.47	0	51	100	78	0.09500000000000008	0	0	0	0.05	0	74	0	1	1	0	0.74	0.09500000000000008
1.570	1.5697108843537424	1.6147108843537414	101	147	114	117	82.5	114	114	114	114	82.09	0	0	-12.5	0	0	0	0	45	45	0	0.04499999999999904	0	0	0	0.74	0	72.5	0	1	0	1	0	0.1349999999999998
1.705	1.7047108843537422	1.7797108843537406	155	179	176	172	89.16	176	176	176	176	89.54	0	0	7.55	0	0	0	0	96	96	0	0.0749999999999984	0	0	0	0.09	0	81.6	0	1	0	0	0	0.0950000000000002
1.800	1.7997108843537424	1.8297108843537417	170	177	174	173	89.29	174	174	174	174	89.35	0	0	-0.16	0	0	0	0	94	94	0	0.02999999999999936	0	0	0	0.02	0	63.4	0	1	0	0	0	0.135
1.935	1.9347108843537424	2.009710884353741	136	159	152	151	86.88	152	152	152	152	87.01	0	0	-2.3	0	0	0	0	79	79	0	0.07499999999999862	0	0	0	0.105	0	82.9	0	1	0	0	0	0.13000000000000012
2.065	2.0647108843537425	2.129710884353741	134	162	147	147	86.43	147	147	147	147	86.5	0	0	-0.48	0	0	0	0	75	75	0	0.06499999999999861	0	0	0	0.055	0	81.7	0	1	0	0	0	0.3049999999999997
2.370	2.369710884353742	2.434710884353741	104	112	109	109	81.26	109	109	109	109	81.29	0	0	-5.1	0	0	0	0	40	40	0	0.06499999999999861	0	0	0	0.24	0	79.5	0	1	0	0	0	0.16500000000000004
2.535	2.5347108843537423	2.5747108843537414	100	107	106	104	80.41	106	106	106	106	80.75	0	0	-0.47	0	0	0	0	37	37	0	0.03999999999999915	0	0	0	0.1	0	79	0	1	0	0	0	0.14500000000000002
2.680	2.6797108843537423	2.7147108843537415	90	114	98	101	79.9	98	98	98	98	79.41	0	0	-1.32	0	0	0	0	28	28	0	0.034999999999999254	0	0	0	0.105	0	77.3	0	1	0	0	0	0.08999999999999986
2.770	2.769710884353742	2.8097108843537413	99	108	106	104	80.53	106	106	106	106	80.79	0	0	1.41	0	0	0	0	37	37	0	0.03999999999999915	0	0	0	0.055	0	78.8	0	1	0	0	0	0.31000000000000005
3.080	3.079710884353742	3.1097108843537415	94	103	101	99	79.58	101	101	101	101	79.95	0	0	-0.78	0	0	0	0	31	31	0	0.02999999999999936	0	0	0	0.27	0	73.8	0	1	0	0	0	0.10499999999999998
3.185	3.184710884353742	3.229710884353741	96	99	97	97	79.34	97	97	97	97	79.27	0	0	-0.63	0	0	0	0	27	27	0	0.04499999999999904	0	0	0	0.075	0	77	0	1	0	0	0	0.06499999999999995
3.250	3.249710884353742	3.2797108843537415	80	100	99	95	78.93	99	99	99	99	79.68	0	0	0.48	0	0	0	0	29	29	0	0.02999999999999936	0	0	0	0.02	0	75.5	0	1	0	0	0	0.28500000000000014
3.535	3.5347108843537423	3.6747108843537393	134	201	192	181	90.02	134	194	134	200	91.77	1	6.94	5.28	6.94	0	6.94	0	64	100	46	0.13999999999999702	0	0	0	0.255	0	78.6	0	1	1	0	0.545	0.13999999999999702
4.220	4.219710884353743	4.269710884353742	86	99	92	92	78.43	92	92	92	92	78.44	0	0	-12.76	0	0	0	0	21	21	0	0.049999999999998934	0	0	0	0.545	0	71.7	0	1	0	1	0	0.16500000000000004
4.385	4.384710884353743	4.459710884353742	135	148	141	141	85.78	141	141	141	141	85.7	0	0	7.41	0	0	0	0	70	70	0	0.0749999999999984	0	0	0	0.115	0	80	0	1	0	0	0	0.08499999999999996
4.470	4.469710884353743	4.499710884353743	150	153	153	152	87.06	153	153	153	153	87.12	0	0	1.45	0	0	0	0	79	79	0	0.02999999999999936	0	0	0	0.01	0	76.9	0	1	0	0	0	0.09999999999999964
4.570	4.569710884353743	4.604710884353742	141	184	154	157	87.55	154	154	154	154	87.29	0	0	0.2	0	0	0	0	80	80	0	0.034999999999999254	0	0	0	0.07	0	80.7	0	1	0	0	0	0.09499999999999975
4.665	4.664710884353743	4.7147108843537415	117	129	126	125	83.65	126	126	126	126	83.84	0	0	-3.36	0	0	0	0	57	57	0	0.049999999999998934	0	0	0	0.06	0	81.1	0	1	0	0	0	0.1800000000000006
4.845	4.844710884353743	4.874710884353743	90	99	95	95	78.84	95	95	95	95	79	0	0	-4.73	0	0	0	0	24	24	0	0.02999999999999936	0	0	0	0.13	0	75.3	0	1	0	0	0	0.07499999999999929
4.920	4.9197108843537425	4.954710884353742	93	95	94	94	78.72	94	94	94	94	78.76	0	0	-0.08	0	0	0	0	23	23	0	0.034999999999999254	0	0	0	0.045	0	76.4	0	1	0	0	0	0.055000000000000604
4.975	4.974710884353743	5.014710884353742	94	101	101	100	79.8	101	101	101	101	79.93	0	0	1.27	0	0	0	0	31	31	0	0.03999999999999915	0	0	0	0.02	0	76	0	1	0	0	0	0.15499999999999936
5.130	5.1297108843537425	5.149710884353742	112	114	113	113	81.86	113	113	113	113	81.88	0	0	1.99	0	0	0	0	44	44	0	0.019999999999999574	0	0	0	0.115	0	77.9	0	1	0	0	0	0.1750000000000007
5.305	5.304710884353743	5.394710884353741	75	118	93	93	78.58	118	75	75	118	82.73	-1	-7.94	0.88	0	-7.94	7.94	0	49	0	-53	0.08999999999999808	0	0	0	0.155	0	77.3	0	1	1	0	0.57	0.08999999999999808
5.965	5.964710884353742	6.07471088435374	103	127	125	120	82.98	126	103	103	126	83.8	-1	-3.47	9.05	0	-3.47	3.47	0	57	34	-24	0.10999999999999766	0	0	0	0.57	0	79.5	0	1	0	1	0	0.21500000000000075
6.180	6.179710884353743	6.274710884353741	107	129	110	110	81.48	110	110	110	110	81.38	0	0	1.15	0	0	0	0	41	41	0	0.09499999999999797	0	0	0	0.105	0	78.6	0	1	0	0	0	0.125
6.305	6.304710884353743	6.344710884353742	119	130	130	128	84	130	130	130	130	84.3	0	0	2.92	0	0	0	0	61	61	0	0.03999999999999915	0	0	0	0.03	0	80.8	0	1	0	0	0	0.14999999999999947
