rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.247	0.24673469387755162	0.30173469387755164	84	104	100	98	79.43	100	100	100	100	79.76	0	0	0	0	0	0	0	34	34	0	0.05500000000000002	0	0	0	0.2467	0	78.8	0	1	0	0	0	0.22
0.467	0.4667346938775516	0.5517346938775517	75	86	82	81	76.24	82	82	82	82	76.46	0	0	-3.27	0	0	0	0	9	9	0	0.08500000000000008	0	0	0	0.165	0	72.8	0	1	0	0	0	0.12
0.587	0.5867346938775516	0.6667346938775517	119	206	169	164	88.3	119	206	119	206	92.3	1	9.43	6.58	9.43	0	9.43	0	55	100	68	0.08000000000000007	0	0	0	0.035	0	72.3	0	1	1	0	0.71	0.08000000000000007
1.377	1.3767346938775515	1.406734693877551	104	116	111	110	81.45	111	111	111	111	81.61	0	0	-10.62	0	0	0	0	46	46	0	0.02999999999999936	0	0	0	0.71	0	73.9	0	1	0	1	0	0.11499999999999999
1.492	1.4917346938775515	1.5717346938775498	144	172	162	161	88.07	162	162	162	162	88.15	0	0	6.62	0	0	0	0	94	94	0	0.0799999999999983	0	0	0	0.085	0	80.9	0	1	0	0	0	0.18500000000000005
1.677	1.6767346938775516	1.7817346938775493	139	170	151	154	87.26	151	151	151	151	86.89	0	0	-1.19	0	0	0	0	85	85	0	0.10499999999999776	0	0	0	0.105	0	81.4	0	1	0	0	0	0.17499999999999982
1.852	1.8517346938775514	1.8917346938775506	128	139	135	134	84.85	135	135	135	135	84.99	0	0	-1.87	0	0	0	0	71	71	0	0.03999999999999915	0	0	0	0.07	0	81.4	0	1	0	0	0	0.14000000000000012
1.992	1.9917346938775515	2.021734693877551	101	118	114	112	81.73	114	114	114	114	82.1	0	0	-2.82	0	0	0	0	50	50	0	0.02999999999999936	0	0	0	0.1	0	79.3	0	1	0	0	0	0.1200000000000001
2.112	2.1117346938775516	2.3417346938775467	101	107	104	104	80.42	104	104	104	104	80.45	0	0	-1.54	0	0	0	0	38	38	0	0.2299999999999951	0	0	0	0.09	0	79.3	0	1	0	0	0	0.27
2.382	2.3817346938775517	2.4317346938775506	91	103	99	98	79.44	99	99	99	99	79.62	0	0	-0.78	0	0	0	0	32	32	0	0.049999999999998934	0	0	0	0.04	0	78.5	0	1	0	0	0	0.06499999999999995
2.447	2.4467346938775516	2.4867346938775508	81	90	89	87	77.42	89	89	89	89	77.74	0	0	-1.81	0	0	0	0	19	19	0	0.03999999999999915	0	0	0	0.015	0	74.1	0	1	0	0	0	0.08999999999999986
2.537	2.5367346938775515	2.5717346938775507	90	96	95	95	78.85	95	95	95	95	78.93	0	0	1.22	0	0	0	0	27	27	0	0.034999999999999254	0	0	0	0.05	0	74	0	1	0	0	0	0.0950000000000002
2.632	2.6317346938775517	2.656734693877551	88	99	99	96	79.13	99	99	99	99	79.6	0	0	0.77	0	0	0	0	32	32	0	0.024999999999999467	0	0	0	0.06	0	77	0	1	0	0	0	0.06999999999999984
2.702	2.7017346938775515	2.7367346938775508	87	90	89	88	77.69	89	89	89	89	77.71	0	0	-1.84	0	0	0	0	19	19	0	0.034999999999999254	0	0	0	0.045	0	75.7	0	1	0	0	0	0.1499999999999999
2.852	2.8517346938775514	2.92173469387755	87	111	92	93	78.55	92	92	92	92	78.31	0	0	0.6	0	0	0	0	23	23	0	0.06999999999999851	0	0	0	0.115	0	76.6	0	1	0	0	0	0.11500000000000021
2.967	2.9667346938775516	3.04673469387755	93	99	98	97	79.25	98	98	98	98	79.41	0	0	1.13	0	0	0	0	31	31	0	0.0799999999999983	0	0	0	0.045	0	76.8	0	1	0	0	0	0.18500000000000005
3.152	3.1517346938775517	3.23673469387755	148	199	173	175	89.43	148	199	148	199	91.69	1	5.08	7.24	5.08	0	5.08	0	82	100	36	0.08499999999999819	0	0	0	0.105	0	80	0	1	1	0	0.665	0.08499999999999819
3.902	3.9017346938775517	3.98673469387755	108	124	120	118	82.71	120	120	120	120	82.97	0	0	-8.67	0	0	0	0	56	56	0	0.08499999999999819	0	0	0	0.665	0	79.9	0	1	0	1	0	0.26000000000000023
4.162	4.161734693877552	4.191734693877551	151	169	164	163	88.2	164	164	164	164	88.39	0	0	5.5	0	0	0	0	95	95	0	0.02999999999999936	0	0	0	0.175	0	81.4	0	1	0	0	0	0.08499999999999996
4.247	4.246734693877552	4.33173469387755	127	134	130	130	84.32	130	130	130	130	84.28	0	0	-4.01	0	0	0	0	66	66	0	0.08499999999999819	0	0	0	0.055	0	78.7	0	1	0	0	0	0.11500000000000021
4.362	4.361734693877552	4.396734693877551	127	134	133	132	84.62	133	133	133	133	84.78	0	0	0.51	0	0	0	0	69	69	0	0.034999999999999254	0	0	0	0.03	0	74.6	0	1	0	0	0	0.09499999999999975
4.457	4.456734693877552	4.491734693877551	137	170	161	158	87.69	161	161	161	161	88.05	0	0	3.39	0	0	0	0	93	93	0	0.034999999999999254	0	0	0	0.06	0	78.9	0	1	0	0	0	0.11000000000000032
4.567	4.566734693877552	4.65673469387755	115	130	121	121	83.13	121	121	121	121	83.04	0	0	-4.93	0	0	0	0	57	57	0	0.08999999999999808	0	0	0	0.075	0	78.9	0	1	0	0	0	0.15500000000000025
4.722	4.721734693877552	4.801734693877551	96	121	114	114	82.06	114	114	114	114	82.02	0	0	-1	0	0	0	0	50	50	0	0.0799999999999983	0	0	0	0.065	0	79.3	0	1	0	0	0	0.1949999999999994
4.917	4.916734693877552	4.951734693877551	92	94	94	93	78.65	94	94	94	94	78.71	0	0	-3.28	0	0	0	0	26	26	0	0.034999999999999254	0	0	0	0.115	0	76.7	0	1	0	0	0	0.20999999999999996
5.127	5.126734693877552	5.1867346938775505	89	104	103	100	79.87	103	103	103	103	80.25	0	0	1.59	0	0	0	0	37	37	0	0.05999999999999872	0	0	0	0.175	0	78.5	0	1	0	0	0	0.2400000000000002
5.367	5.366734693877552	5.401734693877551	86	99	94	93	78.5	94	94	94	94	78.8	0	0	-1.44	0	0	0	0	26	26	0	0.034999999999999254	0	0	0	0.18	0	75.7	0	1	1	0	0.42	0.034999999999999254
5.822	5.821734693877552	5.861734693877551	87	91	88	88	77.62	88	88	88	88	77.55	0	0	-1.11	0	0	0	0	18	18	0	0.03999999999999915	0	0	0	0.42	0	70.2	0	1	0	1	0	0.1349999999999998
5.957	5.956734693877552	6.03673469387755	117	123	119	120	82.89	119	119	119	119	82.85	0	0	5.34	0	0	0	0	55	55	0	0.0799999999999983	0	0	0	0.095	0	79.5	0	1	0	0	0	0.10000000000000053
6.057	6.056734693877552	6.086734693877552	119	137	137	134	84.82	137	137	137	137	85.22	0	0	2.48	0	0	0	0	73	73	0	0.02999999999999936	0	0	0	0.02	0	77.2	0	1	0	0	0	0.08499999999999996
6.142	6.141734693877552	6.186734693877551	107	137	127	124	83.57	127	127	127	127	83.87	0	0	-1.31	0	0	0	0	63	63	0	0.04499999999999904	0	0	0	0.055	0	80.6	0	1	0	0	0	0.11499999999999932
6.257	6.256734693877552	6.296734693877551	98	102	100	100	79.76	100	100	100	100	79.79	0	0	-4.07	0	0	0	0	34	34	0	0.03999999999999915	0	0	0	0.07	0	78.7	0	1	0	0	0	0.20999999999999996
6.467	6.466734693877552	6.511734693877551	83	86	86	85	76.97	86	86	86	86	77.15	0	0	-2.58	0	0	0	0	15	15	0	0.04499999999999904	0	0	0	0.17	0	73.6	0	1	0	0	0	0.125
6.592	6.591734693877552	6.68173469387755	80	83	81	81	76.28	81	81	81	81	76.17	0	0	-0.94	0	0	0	0	7	7	0	0.08999999999999808	0	0	0	0.08	0	72.6	0	1	0	0	0	0.2550000000000008
