rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.535	0.5354081632653017	0.6104081632653018	96	115	109	108	81.19	109	109	109	109	81.28	0	0	0	0	0	0	0	44	44	0	0.07500000000000007	0	0	0	0.5354	0	80	0	1	0	1	0	0.16000000000000003
0.695	0.6954081632653017	0.7304081632653018	90	111	107	106	80.83	107	107	107	107	81.03	0	0	-0.19	0	0	0	0	41	41	0	0.03500000000000003	0	0	0	0.085	0	79	0	1	0	0	0	0.19999999999999996
0.895	0.8954081632653017	0.9254081632653017	92	94	93	93	78.53	93	93	93	93	78.52	0	0	-2.38	0	0	0	0	24	24	0	0.030000000000000027	0	0	0	0.165	0	76.9	0	1	0	0	0	0.1299999999999999
1.025	1.0254081632653016	1.0654081632653007	84	103	94	93	78.59	94	94	94	94	78.71	0	0	0.24	0	0	0	0	25	25	0	0.03999999999999915	0	0	0	0.1	0	76.8	0	1	0	0	0	0.22999999999999998
1.255	1.2554081632653016	1.3454081632652997	88	95	91	91	78.16	91	91	91	91	78.13	0	0	-0.53	0	0	0	0	21	21	0	0.08999999999999808	0	0	0	0.19	0	73.9	0	1	0	0	0	0.1200000000000001
1.375	1.3754081632653017	1.4604081632652999	122	185	148	151	86.87	122	185	122	185	90.45	1	7.22	5.14	7.22	0	7.22	0	57	100	51	0.08499999999999819	0	0	0	0.03	0	74.4	0	1	1	0	0.955	0.08499999999999819
2.415	2.4154081632653015	2.4554081632653006	131	140	139	138	85.38	139	139	139	139	85.5	0	0	-4.87	0	0	0	0	73	73	0	0.03999999999999915	0	0	0	0.955	0	81.1	0	1	0	1	0	0.06499999999999995
2.480	2.4804081632653014	2.505408163265301	154	155	155	155	87.33	155	155	155	155	87.35	0	0	1.92	0	0	0	0	87	87	0	0.024999999999999467	0	0	0	0.025	0	80.9	0	1	0	0	0	0.050000000000000266
2.530	2.5304081632653017	2.7404081632652972	132	162	154	152	87.08	161	132	132	161	87.99	-1	-3.43	0.68	0	-3.43	3.43	0	91	67	-25	0.20999999999999552	0	0	0	0.025	0	80.9	0	1	0	0	0	0.36499999999999977
2.895	2.8954081632653015	3.060408163265298	106	119	117	116	82.32	117	117	117	117	82.46	0	0	-2.08	0	0	0	0	52	52	0	0.16499999999999648	0	0	0	0.155	0	80.1	0	1	0	0	0	0.23500000000000032
3.130	3.130408163265302	3.1854081632653006	93	106	102	100	79.88	102	102	102	102	80.08	0	0	-2.37	0	0	0	0	35	35	0	0.05499999999999883	0	0	0	0.07	0	78.1	0	1	0	0	0	0.1599999999999997
3.290	3.2904081632653015	3.410408163265299	94	107	102	101	80.06	102	102	102	102	80.1	0	0	0.03	0	0	0	0	35	35	0	0.11999999999999744	0	0	0	0.105	0	79.7	0	1	0	0	0	0.17000000000000037
3.460	3.460408163265302	3.500408163265301	98	103	102	101	79.98	102	102	102	102	80.14	0	0	0.07	0	0	0	0	35	35	0	0.03999999999999915	0	0	0	0.05	0	78.6	0	1	0	0	0	0.06499999999999995
3.525	3.525408163265302	3.555408163265301	87	97	96	94	78.67	96	96	96	96	79.02	0	0	-1.05	0	0	0	0	28	28	0	0.02999999999999936	0	0	0	0.025	0	76.5	0	1	0	0	0	0.08000000000000007
3.605	3.605408163265302	3.6804081632653003	90	98	97	97	79.21	97	97	97	97	79.23	0	0	0.21	0	0	0	0	29	29	0	0.0749999999999984	0	0	0	0.05	0	78.4	0	1	0	0	0	0.1649999999999996
3.770	3.7704081632653015	3.880408163265299	75	102	86	86	77.25	102	77	77	102	80.16	-1	-4.62	0.96	0	-4.62	4.62	0	35	1	-35	0.10999999999999766	0	0	0	0.09	0	79	0	1	1	0	0.59	0.10999999999999766
4.470	4.4704081632653025	4.500408163265302	93	108	101	101	79.96	101	101	101	101	79.99	0	0	4.78	0	0	0	0	34	34	0	0.02999999999999936	0	0	0	0.59	0	75.5	0	1	0	1	0	0.08499999999999996
4.555	4.5554081632653025	4.620408163265301	117	123	120	120	82.93	120	120	120	120	82.95	0	0	3.05	0	0	0	0	55	55	0	0.06499999999999861	0	0	0	0.055	0	80.1	0	1	0	0	0	0.16999999999999993
4.725	4.725408163265302	4.775408163265301	134	169	150	150	86.78	150	150	150	150	86.81	0	0	3.93	0	0	0	0	83	83	0	0.049999999999998934	0	0	0	0.105	0	80.9	0	1	0	0	0	0.15499999999999936
4.880	4.880408163265302	4.920408163265301	92	123	106	108	81.06	106	106	106	106	80.84	0	0	-5.9	0	0	0	0	40	40	0	0.03999999999999915	0	0	0	0.105	0	76.9	0	1	0	0	0	0.10500000000000043
4.985	4.985408163265302	5.010408163265302	123	126	126	125	83.7	126	126	126	126	83.76	0	0	3.03	0	0	0	0	61	61	0	0.024999999999999467	0	0	0	0.065	0	77.6	0	1	0	0	0	0.04999999999999982
5.035	5.035408163265302	5.105408163265301	104	120	116	115	82.18	116	116	116	116	82.38	0	0	-1.34	0	0	0	0	51	51	0	0.06999999999999851	0	0	0	0.025	0	78.6	0	1	0	0	0	0.16500000000000004
5.200	5.200408163265302	5.2254081632653016	94	101	97	97	79.34	97	97	97	97	79.32	0	0	-2.97	0	0	0	0	29	29	0	0.024999999999999467	0	0	0	0.095	0	76.7	0	1	0	0	0	0.16500000000000004
5.365	5.365408163265302	5.390408163265302	78	91	90	88	77.57	90	90	90	90	77.97	0	0	-1.23	0	0	0	0	20	20	0	0.024999999999999467	0	0	0	0.14	0	75.5	0	1	0	0	0	0.08499999999999996
5.450	5.450408163265302	5.490408163265301	94	99	94	95	79.01	94	94	94	94	78.8	0	0	0.9	0	0	0	0	25	25	0	0.03999999999999915	0	0	0	0.06	0	73.5	0	1	1	0	0.645	0.03999999999999915
6.135	6.135408163265303	6.205408163265301	93	137	99	103	80.39	137	93	93	137	85.22	-1	-6.73	6.57	0	-6.73	6.73	0	72	24	-48	0.06999999999999851	0	0	0	0.645	0	70.1	0	1	0	1	0	0.1299999999999999
6.265	6.2654081632653025	6.3654081632653	126	143	134	135	85	134	134	134	134	84.92	0	0	6.45	0	0	0	0	69	69	0	0.09999999999999787	0	0	0	0.06	0	79.2	0	1	0	0	0	0.22499999999999964
