rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
9.552	9.551717687074829	9.651717687074845	119	137	132	131	84.46	132	132	132	132	84.56	0	0	3.03	0	0	0	0	58	58	0	0.10000000000001563	0	0	0	0.09	0	71	0	1	0	0	0	0.20000000000000107
9.752	9.75171768707483	9.81171768707484	113	137	123	125	83.65	123	123	123	123	83.44	0	0	-1.09	0	0	0	0	49	49	0	0.06000000000000938	0	0	0	0.1	0	72	0	1	0	0	0	0.1999999999999993
9.952	9.95171768707483	10.121717687074856	107	114	112	111	81.66	112	112	112	112	81.7	0	0	-1.61	0	0	0	0	37	37	0	0.17000000000002657	0	0	0	0.14	0	75.7	0	1	1	0	1.07	0.17000000000002657
11.192	11.19171768707483	11.266717687074841	118	122	121	120	83.01	121	121	121	121	83.06	0	0	1.37	0	0	0	0	47	47	0	0.07500000000001172	0	0	0	1.07	0	79.8	0	1	0	1	0	0.29499999999999993
11.487	11.48671768707483	11.541717687074838	106	118	113	113	81.94	113	113	113	113	81.97	0	0	-1.05	0	0	0	0	38	38	0	0.0550000000000086	0	0	0	0.22	0	72.8	0	1	0	0	0	0.21000000000000085
11.697	11.69671768707483	11.726717687074835	111	116	114	114	82.05	114	114	114	114	82.04	0	0	0.2	0	0	0	0	39	39	0	0.03000000000000469	0	0	0	0.155	0	73.9	0	1	0	0	0	0.14999999999999858
11.847	11.846717687074829	11.931717687074842	132	141	137	137	85.28	137	137	137	137	85.29	0	0	3.29	0	0	0	0	62	62	0	0.08500000000001329	0	0	0	0.12	0	77.6	0	1	0	0	0	0.1850000000000005
12.032	12.03171768707483	12.126717687074844	131	142	140	139	85.48	140	140	140	140	85.63	0	0	0.45	0	0	0	0	65	65	0	0.09500000000001485	0	0	0	0.1	0	80	0	1	0	0	0	0.25
12.282	12.28171768707483	12.386717687074846	135	146	141	140	85.65	141	141	141	141	85.68	0	0	0.13	0	0	0	0	66	66	0	0.10500000000001641	0	0	0	0.155	0	73.5	0	1	1	0	1.09	0.10500000000001641
13.477	13.47671768707483	13.646717687074856	118	127	125	124	83.53	125	125	125	125	83.66	0	0	-2.02	0	0	0	0	51	51	0	0.17000000000002657	0	0	0	1.09	0	80.3	0	1	0	1	0	0.41000000000000014
13.887	13.88671768707483	13.95671768707484	112	118	117	116	82.38	117	117	117	117	82.45	0	0	-1.14	0	0	0	0	43	43	0	0.07000000000001094	0	0	0	0.24	0	80.8	0	1	0	0	0	0.2699999999999996
14.157	14.15671768707483	14.22171768707484	165	171	169	169	88.86	169	169	169	169	88.9	0	0	6.45	0	0	0	0	89	89	0	0.06500000000001016	0	0	0	0.2	0	76.1	0	1	0	0	0	0.16999999999999993
14.327	14.32671768707483	14.371717687074836	139	171	161	159	87.82	161	161	161	161	88.05	0	0	-0.76	0	0	0	0	83	83	0	0.045000000000007034	0	0	0	0.105	0	73.8	0	1	0	0	0	0.1750000000000007
14.502	14.50171768707483	14.526717687074834	104	111	109	109	81.23	109	109	109	109	81.28	0	0	-6.69	0	0	0	0	34	34	0	0.025000000000003908	0	0	0	0.13	0	72.7	0	1	0	0	0	0.10500000000000043
14.607	14.60671768707483	14.681717687074842	99	103	103	102	80.19	103	103	103	103	80.25	0	0	-0.97	0	0	0	0	27	27	0	0.07500000000001172	0	0	0	0.08	0	72.6	0	1	0	0	0	0.15999999999999837
