rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.596	0.5956462585034014	0.6356462585034014	91	98	94	94	78.73	94	94	94	94	78.68	0	0	0	0	0	0	0	23	23	0	0.040000000000000036	0	0	0	0.5956	0	70.9	0	1	0	1	0	0.14
0.736	0.7356462585034014	0.8006462585034014	113	118	113	114	82.02	113	113	113	113	81.94	0	0	3.29	0	0	0	0	45	45	0	0.06500000000000006	0	0	0	0.1	0	77.7	0	1	0	0	0	0.08999999999999997
0.826	0.8256462585034013	0.8556462585034014	107	132	132	130	84.28	132	132	132	132	84.61	0	0	2.77	0	0	0	0	63	63	0	0.030000000000000027	0	0	0	0.025	0	77.9	0	1	0	0	0	0.10499999999999998
0.931	0.9306462585034013	0.9556462585034013	101	115	111	110	81.52	111	111	111	111	81.65	0	0	-2.88	0	0	0	0	43	43	0	0.025000000000000022	0	0	0	0.075	0	79.9	0	1	0	0	0	0.09999999999999998
1.031	1.0306462585034013	1.0706462585034004	98	100	98	98	79.55	98	98	98	98	79.52	0	0	-2.01	0	0	0	0	28	28	0	0.03999999999999915	0	0	0	0.075	0	79.8	0	1	0	0	0	0.30499999999999994
1.336	1.3356462585034012	1.445646258503399	141	203	192	183	90.19	141	200	141	200	91.78	1	6.09	6.31	6.09	0	6.09	0	71	100	41	0.10999999999999766	0	0	0	0.265	0	77.8	0	1	1	0	0.58	0.10999999999999766
2.026	2.0256462585034014	2.0956462585034	118	127	125	124	83.51	125	125	125	125	83.61	0	0	-8.11	0	0	0	0	57	57	0	0.06999999999999851	0	0	0	0.58	0	80.8	0	1	0	1	0	0.1499999999999999
2.176	2.1756462585034013	2.2106462585034006	155	167	164	162	88.17	164	164	164	164	88.32	0	0	4.73	0	0	0	0	89	89	0	0.034999999999999254	0	0	0	0.08	0	80.9	0	1	0	0	0	0.08499999999999996
2.261	2.2606462585034013	2.3556462585033993	159	168	164	164	88.34	164	164	164	164	88.39	0	0	0.1	0	0	0	0	89	89	0	0.09499999999999797	0	0	0	0.05	0	81.6	0	1	0	0	0	0.11499999999999977
2.376	2.375646258503401	2.4256462585034	141	158	156	153	87.12	156	156	156	156	87.53	0	0	-0.76	0	0	0	0	83	83	0	0.049999999999998934	0	0	0	0.02	0	81.2	0	1	0	0	0	0.10499999999999998
2.481	2.480646258503401	2.5106462585034004	129	149	141	140	85.67	141	141	141	141	85.78	0	0	-1.64	0	0	0	0	71	71	0	0.02999999999999936	0	0	0	0.055	0	80.6	0	1	0	0	0	0.08500000000000041
2.566	2.5656462585034014	2.6406462585034	105	124	116	116	82.35	116	116	116	116	82.32	0	0	-3.36	0	0	0	0	48	48	0	0.0749999999999984	0	0	0	0.055	0	80.3	0	1	0	0	0	0.1499999999999999
2.716	2.7156462585034014	2.7506462585034006	102	124	115	114	82.07	115	115	115	115	82.21	0	0	-0.09	0	0	0	0	47	47	0	0.034999999999999254	0	0	0	0.075	0	79.6	0	1	0	0	0	0.10000000000000009
2.816	2.8156462585034014	2.845646258503401	86	95	93	91	78.28	93	93	93	93	78.52	0	0	-3.62	0	0	0	0	22	22	0	0.02999999999999936	0	0	0	0.065	0	77.2	0	1	0	0	0	0.05999999999999961
2.876	2.875646258503401	2.9356462585033998	91	103	100	99	79.59	100	100	100	100	79.85	0	0	1.38	0	0	0	0	30	30	0	0.05999999999999872	0	0	0	0.03	0	78.4	0	1	0	0	0	0.13000000000000034
3.006	3.0056462585034014	3.0406462585034006	95	118	118	111	81.62	118	118	118	118	82.66	0	0	2.93	0	0	0	0	50	50	0	0.034999999999999254	0	0	0	0.07	0	77.9	0	1	0	0	0	0.08999999999999986
3.096	3.0956462585034012	3.1306462585034005	97	123	115	109	81.35	115	115	115	115	82.24	0	0	-0.35	0	0	0	0	47	47	0	0.034999999999999254	0	0	0	0.055	0	77.5	0	1	0	0	0	0.08499999999999996
