rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.271	0.27052721088435333	0.31552721088435337	130	132	131	131	84.5	131	131	131	131	84.51	0	0	0	0	0	0	0	63	63	0	0.04500000000000004	0	0	0	0.2705	0	81.2	0	1	0	0	0	0.14
0.411	0.41052721088435334	0.4505272108843534	158	191	174	175	89.45	174	174	174	174	89.33	0	0	4.93	0	0	0	0	96	96	0	0.040000000000000036	0	0	0	0.095	0	82.5	0	1	0	0	0	0.2
0.611	0.6105272108843534	0.6755272108843534	148	178	158	160	87.95	158	158	158	158	87.72	0	0	-1.6	0	0	0	0	85	85	0	0.06500000000000006	0	0	0	0.16	0	81.4	0	1	0	0	0	0.18499999999999994
0.796	0.7955272108843533	0.8305272108843533	111	115	113	113	81.98	113	113	113	113	81.98	0	0	-5.66	0	0	0	0	45	45	0	0.03500000000000003	0	0	0	0.12	0	79.3	0	1	0	0	0	0.12
0.916	0.9155272108843533	0.9905272108843534	127	131	128	128	84.13	128	128	128	128	84.09	0	0	2.25	0	0	0	0	60	60	0	0.07500000000000007	0	0	0	0.085	0	80.2	0	1	0	0	0	0.1549999999999998
1.071	1.070527210884353	1.1105272108843522	99	127	117	114	82.12	117	117	117	117	82.57	0	0	-1.43	0	0	0	0	49	49	0	0.03999999999999915	0	0	0	0.08	0	80.2	0	1	0	0	0	0.07500000000000018
1.146	1.1455272108843533	1.2455272108843511	97	100	99	98	79.53	99	99	99	99	79.58	0	0	-2.86	0	0	0	0	29	29	0	0.09999999999999787	0	0	0	0.035	0	77.4	0	1	0	0	0	0.22499999999999987
1.371	1.3705272108843531	1.4055272108843524	98	128	115	116	82.37	115	115	115	115	82.29	0	0	2.74	0	0	0	0	47	47	0	0.034999999999999254	0	0	0	0.125	0	77.2	0	1	0	0	0	0.135
1.506	1.5055272108843532	1.5655272108843519	87	112	107	105	80.6	107	107	107	107	80.9	0	0	-1.24	0	0	0	0	39	39	0	0.05999999999999872	0	0	0	0.1	0	78.5	0	1	0	0	0	0.15000000000000013
1.656	1.6555272108843533	1.7105272108843521	89	105	96	95	79.01	96	96	96	96	79.02	0	0	-1.88	0	0	0	0	26	26	0	0.05499999999999883	0	0	0	0.09	0	77.9	0	1	0	0	0	0.125
1.781	1.7805272108843533	1.8305272108843522	99	100	100	100	79.81	100	100	100	100	79.83	0	0	0.81	0	0	0	0	31	31	0	0.049999999999998934	0	0	0	0.07	0	80	0	1	0	0	0	0.15999999999999992
1.941	1.9405272108843532	1.9905272108843521	87	106	92	93	78.52	92	92	92	92	78.41	0	0	-1.32	0	0	0	0	21	21	0	0.049999999999998934	0	0	0	0.11	0	76.4	0	1	0	0	0	0.08500000000000019
2.026	2.0255272108843534	2.0705272108843524	82	91	90	89	77.72	90	90	90	90	77.94	0	0	-0.34	0	0	0	0	18	18	0	0.04499999999999904	0	0	0	0.035	0	75.7	0	1	0	0	0	0.125
2.151	2.1505272108843534	2.2405272108843515	86	92	91	91	78.22	91	91	91	91	78.28	0	0	0.38	0	0	0	0	19	19	0	0.08999999999999808	0	0	0	0.08	0	76	0	1	0	0	0	0.14500000000000002
