rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.290	0.2904421768707451	0.36544217687074515	90	97	94	93	78.63	94	94	94	94	78.66	0	0	0	0	0	0	0	30	30	0	0.07500000000000007	0	0	0	0.2904	0	77.9	0	1	0	0	0	0.10499999999999998
0.395	0.39544217687074507	0.5104421768707451	78	91	88	87	77.35	91	78	78	91	78.26	-1	-2.83	-0.39	0	-2.83	2.83	0	25	5	-21	0.11500000000000005	0	0	0	0.03	0	77.7	0	1	0	0	0	0.21500000000000002
0.610	0.6104421768707451	0.6804421768707452	76	95	83	84	76.82	83	83	83	83	76.57	0	0	1.14	0	0	0	0	13	13	0	0.07000000000000006	0	0	0	0.1	0	74	0	1	0	0	0	0.1299999999999999
0.740	0.740442176870745	0.8554421768707451	79	107	85	87	77.49	82	107	82	107	80.96	1	5.1	-0.07	5.1	0	5.1	0	12	47	35	0.1150000000000001	0	0	0	0.06	0	69.9	0	1	1	0	0.625	0.1150000000000001
1.480	1.480442176870745	1.5504421768707435	98	106	104	103	80.3	104	104	104	104	80.43	0	0	-0.47	0	0	0	0	43	43	0	0.06999999999999851	0	0	0	0.625	0	78.3	0	1	0	1	0	0.10499999999999998
1.585	1.585442176870745	1.6504421768707436	82	92	89	87	77.51	89	89	89	89	77.75	0	0	-2.66	0	0	0	0	22	22	0	0.06499999999999861	0	0	0	0.035	0	77.2	0	1	0	0	0	0.15500000000000003
1.740	1.740442176870745	1.785442176870744	80	84	82	82	76.37	82	82	82	82	76.35	0	0	-1.36	0	0	0	0	12	12	0	0.04499999999999904	0	0	0	0.09	0	70.7	0	1	0	0	0	0.07000000000000006
1.810	1.810442176870745	1.9304421768707425	85	110	87	89	77.87	85	110	85	110	81.39	1	4.31	0.79	4.31	0	4.31	0	16	50	34	0.11999999999999744	0	0	0	0.025	0	71.2	0	1	1	0	0.535	0.11999999999999744
2.465	2.465442176870745	2.5504421768707433	103	112	104	106	80.89	104	104	104	104	80.57	0	0	-0.81	0	0	0	0	43	43	0	0.08499999999999819	0	0	0	0.535	0	79.1	0	1	0	1	0	0.17999999999999972
2.645	2.645442176870745	2.7454421768707427	84	111	101	100	79.73	111	84	84	111	81.59	-1	-4.7	1.18	0	-4.7	4.7	0	52	15	-37	0.09999999999999787	0	0	0	0.095	0	79.7	0	1	0	0	0	0.20999999999999996
2.855	2.8554421768707448	2.9054421768707437	78	88	85	84	76.74	85	85	85	85	77	0	0	0.3	0	0	0	0	16	16	0	0.049999999999998934	0	0	0	0.11	0	74.8	0	1	0	0	0	0.10500000000000043
2.960	2.960442176870745	3.0904421768707424	80	121	84	91	78.23	81	121	81	121	83.12	1	6.51	-0.74	6.51	0	6.51	0	10	63	53	0.12999999999999723	0	0	0	0.055	0	70.4	0	1	1	0	0.53	0.12999999999999723
3.620	3.620442176870745	3.7404421768707423	113	133	118	122	83.21	118	118	118	118	82.68	0	0	-0.34	0	0	0	0	60	60	0	0.11999999999999744	0	0	0	0.53	0	80.1	0	1	0	1	0	0.20500000000000007
3.825	3.825442176870745	3.875442176870744	147	159	156	155	87.32	156	156	156	156	87.46	0	0	4.87	0	0	0	0	97	97	0	0.049999999999998934	0	0	0	0.085	0	82	0	1	0	0	0	0.125
3.950	3.950442176870745	4.120442176870742	99	152	119	119	82.87	139	99	99	139	85.49	-1	-4.23	-1.93	0	-4.23	4.23	0	81	37	-45	0.16999999999999682	0	0	0	0.075	0	80.7	0	1	0	0	0	0.2750000000000008
4.225	4.225442176870746	4.260442176870745	95	102	96	97	79.28	96	96	96	96	79.04	0	0	-0.51	0	0	0	0	32	32	0	0.034999999999999254	0	0	0	0.105	0	77	0	1	0	0	0	0.04999999999999982
4.275	4.275442176870746	4.440442176870742	84	96	93	93	78.49	93	84	84	93	78.63	-1	-1.73	-0.39	0	-1.73	1.73	0	28	15	-14	0.16499999999999648	0	0	0	0.015	0	75.9	0	1	0	0	0	0.19500000000000028
4.470	4.470442176870746	4.555442176870744	92	96	94	94	78.75	94	94	94	94	78.72	0	0	2.01	0	0	0	0	30	30	0	0.08499999999999819	0	0	0	0.03	0	75.6	0	1	0	0	0	0.17999999999999972
4.650	4.650442176870746	4.710442176870744	84	103	100	97	79.31	102	84	84	102	80.17	-1	-3.38	1.51	0	-3.38	3.38	0	40	15	-26	0.05999999999999872	0	0	0	0.095	0	77.5	0	1	1	0	0.505	0.05999999999999872
5.215	5.215442176870745	5.260442176870744	116	116	116	116	82.35	116	116	116	116	82.33	0	0	5.62	0	0	0	0	57	57	0	0.04499999999999904	0	0	0	0.505	0	80.4	0	1	0	1	0	0.0600000000000005
5.275	5.275442176870746	5.335442176870744	96	121	117	114	82.14	117	117	117	117	82.59	0	0	0.29	0	0	0	0	59	59	0	0.05999999999999872	0	0	0	0.015	0	80.7	0	1	0	0	0	0.08999999999999986
5.365	5.365442176870745	5.390442176870745	118	119	119	119	82.78	119	119	119	119	82.78	0	0	0.33	0	0	0	0	61	61	0	0.024999999999999467	0	0	0	0.03	0	57.2	0	1	0	0	0	0.09999999999999964
5.465	5.465442176870745	5.520442176870744	103	112	112	111	81.54	112	112	112	112	81.74	0	0	-1	0	0	0	0	53	53	0	0.05499999999999883	0	0	0	0.075	0	79.1	0	1	0	0	0	0.13000000000000078
5.595	5.595442176870746	5.635442176870745	136	158	152	149	86.7	152	152	152	152	86.99	0	0	5.31	0	0	0	0	93	93	0	0.03999999999999915	0	0	0	0.075	0	81.1	0	1	0	0	0	0.17499999999999982
5.770	5.770442176870746	5.835442176870744	124	150	129	131	84.49	129	129	129	129	84.17	0	0	-2.8	0	0	0	0	72	72	0	0.06499999999999861	0	0	0	0.135	0	78.9	0	1	0	0	0	0.16999999999999993
5.940	5.940442176870746	5.995442176870744	103	130	117	115	82.26	117	117	117	117	82.45	0	0	-1.68	0	0	0	0	59	59	0	0.05499999999999883	0	0	0	0.105	0	79.8	0	1	0	0	0	0.09999999999999964
6.040	6.040442176870745	6.085442176870744	87	97	91	92	78.33	91	91	91	91	78.11	0	0	-4.33	0	0	0	0	25	25	0	0.04499999999999904	0	0	0	0.045	0	76	0	1	0	0	0	0.13500000000000068
