Time Stamps (s),Values,Labels,punc,dx_next,dx_prev,dy_next,dy_prev
0.535,0.0,M,0,0.15999999999999992,1.0,0.0,0.0
0.695,0.0,M,0,0.20000000000000007,0.15999999999999992,-1.0,0.0
0.895,-1.0,L,0,0.1299999999999999,0.20000000000000007,0.0,-1.0
1.025,-1.0,L,0,0.22999999999999998,0.1299999999999999,0.0,0.0
1.255,-1.0,L,0,0.1200000000000001,0.22999999999999998,1.5,0.0
1.375,0.5,M-H,0,1.04,0.1200000000000001,-0.5,1.5
2.415,0.0,M,1,0.06499999999999995,1.04,1.0,-0.5
2.48,1.0,H,0,0.04999999999999982,0.06499999999999995,-0.5,1.0
2.53,0.5,H-M,0,0.3650000000000002,0.04999999999999982,-0.5,-0.5
2.895,0.0,M,0,0.23499999999999988,0.3650000000000002,0.0,-0.5
3.13,0.0,M,0,0.16000000000000014,0.23499999999999988,0.0,0.0
3.29,0.0,M,0,0.16999999999999993,0.16000000000000014,0.0,0.0
3.46,0.0,M,0,0.06499999999999995,0.16999999999999993,0.0,0.0
3.525,0.0,M,0,0.08000000000000007,0.06499999999999995,0.0,0.0
3.605,0.0,M,0,0.16500000000000004,0.08000000000000007,-0.5,0.0
3.77,-0.5,M-L,0,0.6999999999999997,0.16500000000000004,0.5,-0.5
4.47,0.0,M,0,0.08499999999999996,0.6999999999999997,0.0,0.5
4.555,0.0,M,0,0.16999999999999993,0.08499999999999996,1.0,0.0
4.725,1.0,H,0,0.15500000000000025,0.16999999999999993,-1.0,1.0
4.88,0.0,M,0,0.10500000000000043,0.15500000000000025,0.0,-1.0
4.985,0.0,M,0,0.04999999999999982,0.10500000000000043,0.0,0.0
5.035,0.0,M,0,0.16500000000000004,0.04999999999999982,0.0,0.0
5.2,0.0,M,0,0.16500000000000004,0.16500000000000004,-1.0,0.0
5.365,-1.0,L,0,0.08499999999999996,0.16500000000000004,0.0,-1.0
5.45,-1.0,L,0,0.6849999999999996,0.08499999999999996,0.5,0.0
6.135,-0.5,M-L,0,0.1299999999999999,0.6849999999999996,0.5,0.5
6.265,0.0,M,0,0.22500000000000053,0.1299999999999999,-0.5,0.5
6.49,-0.5,M-L,0,0.17999999999999972,0.22500000000000053,0.0,-0.5
6.67,-0.5,M-L,0,0.75,0.17999999999999972,0.5,0.0
7.42,0.0,M,0,0.04499999999999993,0.75,0.0,0.5
7.465,0.0,M,0,0.14500000000000046,0.04499999999999993,1.0,0.0
7.61,1.0,H,0,0.23499999999999943,0.14500000000000046,-1.0,1.0
7.845,0.0,M,0,0.09500000000000064,0.23499999999999943,0.0,-1.0
7.94,0.0,M,0,0.1299999999999999,0.09500000000000064,0.0,0.0
8.07,0.0,M,0,0.11999999999999922,0.1299999999999999,0.0,0.0
8.19,0.0,M,0,0.16999999999999993,0.11999999999999922,-1.0,0.0
